timestamp,underlying,type,strike,expiry,last,bid,ask,volume,oi,iv,delta,gamma,theta,vega
20251212 20:16,AAPL,call,110.0,2025-12-12,167.65,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,110.0,2025-12-12,0.01,0.0,0.0,1.0,2,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,120.0,2025-12-12,154.48,0.0,0.0,nan,1.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,120.0,2025-12-12,0.01,0.0,0.0,nan,1,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,125.0,2025-12-12,0.01,0.0,0.0,1.0,1,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,135.0,2025-12-12,0.01,0.0,0.0,1.0,1,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,145.0,2025-12-12,0.01,0.0,0.0,1.0,10,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,150.0,2025-12-12,127.5,0.0,0.0,1.0,2.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,155.0,2025-12-12,123.05,0.0,0.0,1.0,1.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,155.0,2025-12-12,0.01,0.0,0.0,2.0,41,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,160.0,2025-12-12,118.22,0.0,0.0,2.0,3.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,165.0,2025-12-12,113.27,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,165.0,2025-12-12,0.01,0.0,0.0,5.0,5,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,170.0,2025-12-12,105.49,0.0,0.0,2.0,3.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,170.0,2025-12-12,0.01,0.0,0.0,2.0,79,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,175.0,2025-12-12,0.03,0.0,0.0,nan,10,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,180.0,2025-12-12,97.82,0.0,0.0,2.0,1.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,180.0,2025-12-12,0.04,0.0,0.0,2.0,25,1.000005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,185.0,2025-12-12,92.93,0.0,0.0,2.0,2.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,185.0,2025-12-12,0.01,0.0,0.0,12.0,28,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,190.0,2025-12-12,88.23,0.0,0.0,1.0,2.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,190.0,2025-12-12,0.01,0.0,0.0,2.0,96,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,195.0,2025-12-12,83.0,0.0,0.0,2.0,3.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,195.0,2025-12-12,0.01,0.0,0.0,1.0,118,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,200.0,2025-12-12,77.7,0.0,0.0,2.0,83.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,200.0,2025-12-12,0.01,0.0,0.0,1.0,2188,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,205.0,2025-12-12,73.18,0.0,0.0,2.0,6.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,205.0,2025-12-12,0.01,0.0,0.0,41.0,208,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,210.0,2025-12-12,67.98,0.0,0.0,15.0,156.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,210.0,2025-12-12,0.01,0.0,0.0,2.0,187,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,215.0,2025-12-12,63.22,0.0,0.0,13.0,8.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,215.0,2025-12-12,0.01,0.0,0.0,2.0,156,0.500005,0.0,0.0,0.0,0.0
